circuit_idx,n_samples,n_phase_types,dominant_type_freq_pct,canonical_hier_freq_pct,non_canon_stable_freq_pct,n_phase_types_canon,dominant_n_stable,dominant_n_semi,dominant_n_unstable
89,100000,40,73.3550,0.1090,99.8910,2,2,8,3
90,100000,12,85.4490,1.7020,98.2980,1,2,7,3
91,100000,103,40.4340,0.1730,99.8270,2,2,9,5
92,100000,53,55.8510,1.5850,98.4150,6,2,9,3
93,100000,15,83.6410,0.0180,99.9820,1,2,7,3
94,100000,162,24.2710,0.3940,99.6060,8,2,8,9
95,100000,111,36.7110,8.6060,91.3940,22,3,8,7
96,100000,321,15.3820,0.4400,99.5600,6,2,9,10
97,100000,138,35.9200,10.6830,89.3170,25,2,9,7
98,100000,225,29.3330,0.4330,99.5670,12,2,8,8
99,100000,65,34.5140,0.0900,99.9100,7,3,9,7
100,100000,205,14.9580,0.0010,99.9990,1,3,9,9
