"circuit_index","phenotype_pattern","count"
49,"0000|1000|1111",3972
49,"0000|0011|1000|1100|1111",198
49,"0000|1000|1100|1111",153
49,"0000|0011|1000|1011|1111",4
50,"0000|0011|1000|1111",4673
50,"0000|1000|1111",3633
50,"0000|0011|1000|1011|1111",575
50,"0000|1000|1101|1111",329
50,"0000|0011|1000|1101|1111",435
50,"0000|0011|1000|1011|1101|1111",45
50,"0000|0011|1000|1101",120
50,"0000|1000|1100|1111",35
50,"0000|0011|1000|1100|1111",37
50,"0000|1000|1101",97
50,"0000|0011|1000|1011|1101",17
50,"0000|0011|1000|1011|1100|1111",4
51,"0000|0011|1111",5532
51,"0000|0011|1000|1111",3156
51,"0000|0011|1101|1111",656
51,"0000|0011|1000|1100|1111",85
51,"0000|0011|1001|1111",306
51,"0000|0011|1101",109
51,"0000|0011|1000|1101|1111",18
51,"0000|0011|1001|1101|1111",24
51,"0000|0011|1001|1011|1111",56
51,"0000|0011|1000|1011|1111",50
51,"0000|0011|1000|1011|1100|1111",1
51,"0000|0011|1001|1011|1101|1111",5
51,"0000|0011|1001|1101",1
51,"0000|0011|1000|1011|1101|1111",1
52,"0000|0011|1001|1011|1111",3307
52,"0000|0011|1001|1011|1101|1111",427
52,"0000|0011|1001|1101|1111",294
52,"0000|0011|1001|1111",2052
52,"0000|0011|1000|1011|1111",2923
52,"0000|0011|1001|1101",269
52,"0000|0011|1001|1011|1101",272
52,"0000|0011|1000|1011|1101|1111",325
52,"0000|0011|1000|1011|1101",120
52,"0000|0011|1000|1011|1100|1111",11
53,"0000|0011|1000|1111",1692
53,"0000|1111",2314
53,"0000|1101|1111",268
53,"0000|0011|1111",2646
53,"0000|1000|1111",1313
53,"0000|0011|1101",64
53,"0000|0011|1101|1111",329
53,"0000|1001|1111",93
53,"0000|0011|1000|1100|1111",61
53,"0000|1000|1100|1111",40
53,"0000|0011|1001|1111",674
53,"0000|0011|1001|1011|1111",156
53,"0000|0011|1001|1101|1111",65
53,"0000|0011|1000|1011|1111",184
53,"0000|0011|1001|1101",9
53,"0000|0011|1000|1011|1100|1111",6
53,"0000|0011|1001|1011|1101|1111",12
53,"0000|0011|1000|1101|1111",8
53,"0000|1000|1101|1111",14
53,"0000|1101",41
53,"0000|0011|1000|1011|1101|1111",2
53,"0000|1001|1101|1111",9
54,"0000|0011|1000|1111",6005
54,"0000|0011|1000|1100|1111",210
54,"0000|1000|1111",3639
54,"0000|1000|1100|1111",146
55,"0000|0011|1000|1111",7256
55,"0000|1000|1101|1111",139
55,"0000|0011|1000|1101|1111",656
55,"0000|1000|1111",1549
55,"0000|0011|1000|1100|1111",76
55,"0000|0011|1000|1101",190
55,"0000|1000|1101",54
55,"0000|0011|1000|1011|1111",69
55,"0000|1000|1100|1111",6
55,"0000|0011|1000|1011|1101|1111",4
55,"0000|0011|1000|1011|1101",1
56,"0000|0011|1000|1111",4816
56,"0000|1000|1111",4842
56,"0000|1000|1100|1111",168
56,"0000|0011|1000|1100|1111",169
56,"0000|0011|1000|1011|1111",5
57,"0000|0011|1001|1111",4853
57,"0000|0011|1000|1111",2644
57,"0000|1000|1111",569
57,"0000|1001|1111",964
57,"0000|0011|1001|1101|1111",562
57,"0000|1001|1101|1111",98
57,"0000|0011|1001|1101",93
57,"0000|1000|1100|1111",16
57,"0000|1000|1101|1111",5
57,"0000|1001|1101",17
57,"0000|0011|1000|1100|1111",82
57,"0000|0011|1001|1011|1111",48
57,"0000|0011|1000|1101|1111",22
57,"0000|0011|1000|1011|1111",22
57,"0000|0011|1000|1011|1101|1111",1
57,"0000|0011|1001|1011|1101|1111",2
57,"0000|0011|1000|1011|1100|1111",2
58,"0000|0011|1000|1101",1333
58,"0000|1000|1101",3988
58,"0000|1000|1101|1111",1851
58,"0000|1000|1100|1111",1687
58,"0000|0011|1000|1101|1111",594
58,"0000|0011|1000|1100|1111",547
59,"0000|1000|1100|1111",9254
59,"0000|0011|1000|1100|1111",745
59,"0000|0011|1000|1011|1100|1111",1
60,"0000|1000|1100|1111",2048
60,"0000|1000|1101",4681
60,"0000|1000|1101|1111",2558
60,"0000|0011|1000|1100|1111",176
60,"0000|0011|1000|1101",355
60,"0000|0011|1000|1101|1111",172
60,"0000|0011|1000|1011|1100|1111",6
60,"0000|0011|1000|1011|1101|1111",2
60,"0000|0011|1000|1011|1101",2
61,"0000|1101",2889
61,"0000|1101|1111",1887
61,"0000|1000|1100|1111",2113
61,"0000|0011|1101",917
61,"0000|1000|1101|1111",386
61,"0000|1001|1101|1111",211
61,"0000|0011|1101|1111",655
61,"0000|0011|1000|1100|1111",660
61,"0000|1001|1101",49
61,"0000|0011|1000|1101|1111",122
61,"0000|0011|1001|1101|1111",87
