circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
58,1100,1101,200000,182326,0.91163,boundary_analytic,1
59,1000,0000,200000,200000,1.0,boundary_analytic,1
59,0010,0000,200000,200000,1.0,boundary_analytic,1
59,0010,0011,200000,200000,1.0,boundary_analytic,1
59,0011,1011,200000,197661,0.988305,boundary_analytic,1
59,0011,0111,200000,41596,0.20798,boundary_analytic,1
60,1000,0000,200000,200000,1.0,boundary_analytic,1
60,0010,0000,200000,200000,1.0,boundary_analytic,1
60,0010,0011,200000,200000,1.0,boundary_analytic,1
60,0011,1011,200000,197661,0.988305,boundary_analytic,1
60,1100,1101,200000,182326,0.91163,boundary_analytic,1
61,1000,0000,200000,200000,1.0,boundary_analytic,1
61,0010,0000,200000,200000,1.0,boundary_analytic,1
61,0010,0011,200000,200000,1.0,boundary_analytic,1
61,0011,1011,200000,180109,0.900545,boundary_analytic,1
61,0011,0111,200000,41596,0.20798,boundary_analytic,1
61,1100,1101,200000,177644,0.88822,boundary_analytic,1
61,1000,1001,200000,173389,0.866945,boundary_analytic,1
62,1000,0000,200000,200000,1.0,boundary_analytic,1
62,0010,0000,200000,200000,1.0,boundary_analytic,1
62,0010,0011,200000,200000,1.0,boundary_analytic,1
62,0011,1011,200000,180109,0.900545,boundary_analytic,1
62,1100,1101,200000,199052,0.99526,boundary_analytic,1
62,1000,1001,200000,173389,0.866945,boundary_analytic,1
63,1000,0000,200000,200000,1.0,boundary_analytic,1
63,0010,0000,200000,200000,1.0,boundary_analytic,1
63,0010,0011,200000,200000,1.0,boundary_analytic,1
63,0011,1011,200000,197661,0.988305,boundary_analytic,1
63,1100,1101,200000,177644,0.88822,boundary_analytic,1
63,1000,1001,200000,173389,0.866945,boundary_analytic,1
64,1000,0000,200000,200000,1.0,boundary_analytic,1
64,0010,0000,200000,200000,1.0,boundary_analytic,1
64,0010,0011,200000,200000,1.0,boundary_analytic,1
64,0011,1011,200000,180109,0.900545,boundary_analytic,1
64,0011,0111,200000,173626,0.86813,boundary_analytic,1
65,1000,0000,200000,200000,1.0,boundary_analytic,1
65,0010,0000,200000,200000,1.0,boundary_analytic,1
65,0010,0011,200000,200000,1.0,boundary_analytic,1
65,0011,1011,200000,180109,0.900545,boundary_analytic,1
65,0011,0111,200000,133241,0.666205,boundary_analytic,1
65,1100,1101,200000,182326,0.91163,boundary_analytic,1
66,1000,0000,200000,200000,1.0,boundary_analytic,1
66,0010,0000,200000,200000,1.0,boundary_analytic,1
66,0010,0011,200000,200000,1.0,boundary_analytic,1
