circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
20,0010,0000,200000,200000,1.0,boundary_analytic,1
20,0010,0011,200000,200000,1.0,boundary_analytic,1
20,0011,0111,200000,41596,0.20798,boundary_analytic,1
20,1100,1110,200000,197361,0.986805,boundary_analytic,1
20,1110,1111,200000,200000,1.0,boundary_analytic,1
20,1011,1111,200000,198582,0.99291,boundary_analytic,1
21,1000,0000,200000,200000,1.0,boundary_analytic,1
21,0010,0000,200000,200000,1.0,boundary_analytic,1
21,0010,0011,200000,200000,1.0,boundary_analytic,1
21,1100,1110,200000,197361,0.986805,boundary_analytic,1
21,1100,1101,200000,182326,0.91163,boundary_analytic,1
21,1110,1111,200000,200000,1.0,boundary_analytic,1
21,1101,1111,200000,197361,0.986805,boundary_analytic,1
22,1000,0000,200000,200000,1.0,boundary_analytic,1
22,0010,0000,200000,200000,1.0,boundary_analytic,1
22,0010,0011,200000,200000,1.0,boundary_analytic,1
22,0011,1011,200000,152479,0.762395,boundary_analytic,1
22,1100,1110,200000,197361,0.986805,boundary_analytic,1
22,1110,1111,200000,200000,1.0,boundary_analytic,1
23,1000,0000,200000,200000,1.0,boundary_analytic,1
23,0010,0000,200000,200000,1.0,boundary_analytic,1
